,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
185390,185390,2019-04-06 19:20:40,213124978348176,fraud_Howe PLC,entertainment,7.08,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04,e705e7971a19aee2531cf8be2886b158,1333740040,42.212257,-78.30179,0
667205,667205,2019-10-11 21:15:00,2233882705243596,fraud_Berge-Ullrich,home,2.73,Jamie,Robinson,F,67089 Caitlin Meadow Apt. 905,Sturgis,MS,39769,33.357,-89.0473,1923,Medical physicist,1960-01-16,443d7d7b305b47a2984ff95fecd0e44f,1349990100,33.837004,-89.862165,0
554864,554864,2019-08-25 05:49:31,180094419304907,fraud_Rempel PLC,grocery_net,75.17,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,3054b5835a2b111bcb35f775cca5c991,1345873771,34.154844,-117.156248,0
1102160,1102160,2020-04-03 17:43:43,347073228412010,fraud_Heller PLC,health_fitness,77.63,Ryan,Johnson,M,40178 Lisa Mission,Alva,WY,82711,44.6873,-104.4414,110,"Administrator, local government",1973-05-16,a3288c9e7d320e0dc903b5fcfbd1cd36,1365011023,43.92022,-103.846839,0
1101430,1101430,2020-04-03 08:48:33,6534628260579800,fraud_Hintz-Bruen,grocery_net,75.41,Christine,Harris,F,29606 Martinez Views Suite 653,Hinesburg,VT,5461,44.3346,-73.098,4542,Claims inspector/assessor,1998-03-19,7de21a8432db7a8dec7af244e7e49035,1364978913,45.128001,-72.364498,0
1122319,1122319,2020-04-12 16:27:18,3567879740649740,"fraud_Roberts, Ryan and Smith",personal_care,12.14,Tanya,Williams,F,566 Megan Well,Brownville,NY,13615,44.0577,-76.0196,1271,"Producer, radio",1958-08-14,fdbc9c7a998c453a3a541591694580b7,1365784038,43.945175,-76.607575,0
200345,200345,2019-04-13 12:10:24,2713913904780408,fraud_Rippin-VonRueden,health_fitness,223.63,Jacqueline,Howard,F,4511 Choi Lock,Delhi,LA,71232,32.3929,-91.4714,6581,Multimedia programmer,1964-02-13,c546849531db772ab67a7f4eba9506ef,1334319024,31.498652000000003,-91.490674,0
777742,777742,2019-11-29 16:33:10,4424338559877976,"fraud_Langosh, Wintheiser and Hyatt",food_dining,39.35,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,1957-11-12,f71b78f41d65a1fa5d0685c987fd9f7a,1354206790,40.06381,-84.187077,0
885547,885547,2019-12-23 04:49:36,4254074738931278,fraud_Brekke and Sons,gas_transport,73.92,Gary,Hall,M,69085 Short Shores,Allentown,NY,14707,42.0737,-78.0594,239,Radio producer,1956-05-02,0af80a6a8dd95784b280ccd170135c25,1356238176,41.35519,-77.461106,0
355394,355394,2019-06-15 15:44:18,3552581383553463,fraud_Rau-Robel,kids_pets,45.23,Jonathan,Castro,M,200 Christie Mills Apt. 307,Andrews,NC,28901,35.1959,-83.8228,5354,Retail buyer,1965-04-13,3626d3780d955f427df4cc1123a6b8bc,1339775058,35.76918,-82.967825,0
